timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2526713897,0.11036975,0.39458323,0.07257492,0.0647736,0.04272213,0.006194816,0.9969659,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526742024,0.03194551,0.40490204,0.06021263,0.064012036,0.04158156,0.005636883,0.9970666,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526773918,-0.1821069,-0.29072878,0.03626412,0.06319007,0.04185217,0.0048810965,0.9971117,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526805920,0.12492124,0.31323433,0.06542016,0.06230783,0.040472947,0.0042029256,0.9972272,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526837977,-0.19724832,-0.18503344,0.025613831,0.061580107,0.040375732,0.0032741951,0.99727976,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526869908,0.02112788,0.27862144,0.060569797,0.06084512,0.039625887,0.002848718,0.99735636,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526901958,0.122421056,-0.19422364,0.019542634,0.060210913,0.03876186,0.00268512,0.9974292,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526934004,-0.23691796,0.2961741,0.03985419,0.059646558,0.037669178,0.0018655207,0.9975069,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526965882,0.028847303,0.12242007,0.033458892,0.059010036,0.035793267,0.0019449939,0.9976136,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526997902,-0.12537281,-0.26203987,0.01425576,0.05855471,0.035433993,0.0010894155,0.9976546,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527030011,-0.078539506,0.58379316,0.036047347,0.05804651,0.033206057,0.0005330079,0.9977613,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527062726,-0.1378449,-0.4906614,-0.0016601231,0.05770866,0.033946212,-0.00033449408,0.9977562,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527094773,0.1206921,0.54924047,0.036438487,0.05728053,0.031323805,-0.00068822864,0.99786645,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527126813,-0.06598499,-0.42226735,-0.0007545971,0.056948535,0.031102559,-0.0012346429,0.9978918,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527154710,0.0043971506,-0.51274186,-0.0070430436,0.05664646,0.030354194,-0.0014203788,0.9979318,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527186797,-0.1338865,0.782651,0.045332033,0.05624364,0.027693955,-0.0016789676,0.99803156,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527218692,0.08517803,-0.65363604,-0.0025049972,0.055903193,0.028000804,-0.0018688476,0.9980418,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527250707,-0.01971713,0.5429802,0.01854876,0.055594843,0.025431992,-0.0023019125,0.9981268,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527282803,-0.123648904,-0.058978166,0.020598467,0.05524906,0.023770602,-0.002861421,0.9981855,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527314699,0.11100894,-0.037242495,0.0005204379,0.05499978,0.023582557,-0.0028383052,0.9982039,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527346790,-0.1476613,0.37053353,0.0465351,0.054636028,0.021424958,-0.0034800034,0.9982704,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527378794,0.13365555,-0.24876922,-0.0026283343,0.05426072,0.021251142,-0.0034594417,0.99829465,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527408315,-0.18657228,0.27418897,0.018763583,0.053833105,0.01951098,-0.0042854003,0.99835014,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527441204,-0.12437835,-0.022987295,0.024471022,0.053319495,0.017767223,-0.005188942,0.99840593,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527469920,0.22118881,-0.3940272,0.0154867,0.052936606,0.01773032,-0.0054178834,0.9984258,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527503579,-0.31283644,0.2985908,0.040493872,0.052547365,0.01709609,-0.0062051397,0.99845284,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527535531,0.18111198,-0.02760365,0.01449713,0.052122902,0.017201198,-0.0059475973,0.99847484,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527563623,0.14323755,-0.050957117,0.0061731064,0.051792372,0.016872304,-0.0058109174,0.9984985,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527595583,-0.1534679,-0.093618885,0.004262839,0.051491946,0.017166117,-0.005882191,0.9985086,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527623614,-0.31487438,0.08292751,0.02519891,0.051207922,0.017128332,-0.006180215,0.99852204,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527655532,0.17638648,0.11671856,0.010422453,0.05088401,0.017397402,-0.00585441,0.99853593,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527687536,-0.1800866,-0.40812102,0.0068597784,0.050647996,0.018842561,-0.0069634807,0.9985146,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527719602,0.0059247473,0.5589817,0.029410291,0.050377768,0.018611144,-0.0073211733,0.99853003,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527751594,0.03356637,-0.74564075,-0.0016654045,0.05010223,0.019878693,-0.008268114,0.9985121,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527783599,-0.16067831,0.6228747,0.030179847,0.049789786,0.018366082,-0.009310227,0.9985475,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527815643,-0.037695516,-0.091226086,0.027096393,0.04938393,0.017685965,-0.00967351,0.99857646,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527844330,0.17214085,-0.30680862,-0.0006757629,0.04904989,0.016833756,-0.009196068,0.9986121,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527876414,-0.17469887,0.34094775,0.02405742,0.04871809,0.015202748,-0.008694358,0.998659,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527908327,0.21485752,-0.036826756,0.030107455,0.048283286,0.01433437,-0.008258544,0.9986967,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527940382,-0.26494536,-0.14498338,0.0011037595,0.048037793,0.014133686,-0.008303503,0.99871105,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2527972427,0.06723607,0.20897138,0.016997673,0.047760442,0.014279684,-0.008598537,0.99871975,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528004364,0.117169835,-0.42538476,0.004350402,0.047557723,0.015771111,-0.009133515,0.9987022,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528036293,-0.16230817,0.15755005,0.013942806,0.047368526,0.017809201,-0.010062872,0.998668,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528068389,-0.085789576,0.04684995,0.027568405,0.04711501,0.018569145,-0.010282256,0.9986639,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528096371,-0.06610639,-0.263784,0.005162944,0.04696753,0.01977662,-0.010721891,0.9986431,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528128376,-0.17544687,-0.07494056,-0.0048032,0.046862636,0.021353811,-0.011530226,0.9986065,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528160361,-0.06902444,0.04904903,0.040261485,0.04656113,0.02195199,-0.013337041,0.9985852,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528192294,-0.18709403,-0.24090756,-0.021175897,0.04644655,0.023327192,-0.014431149,0.99854416,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528225223,0.09538745,0.41876084,0.02104685,0.04625032,0.023013314,-0.015339007,0.99854696,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528257224,0.19329062,-0.5365893,-0.013904784,0.046116628,0.02336585,-0.015595233,0.998541,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528285158,0.053523116,-0.4468627,-0.017364513,0.046047255,0.023068592,-0.015781432,0.9985482,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528317111,-0.08000122,0.25630516,0.04052986,0.04587255,0.02199829,-0.016464695,0.9985693,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528349152,0.16926867,-0.27564773,-0.023845527,0.045795966,0.02359336,-0.016548513,0.99853504,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528381196,-0.23608677,-0.049129345,0.0015759373,0.045781802,0.024888106,-0.017300153,0.9984916,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528413216,0.17428479,0.055330604,-0.0014344188,0.045848,0.025658198,-0.017723069,0.9984616,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528445148,-0.28895086,-0.38359565,-0.029077623,0.046058197,0.028465075,-0.018907242,0.99835414,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528477139,0.008148835,0.3209353,-0.0022317898,0.04621049,0.028994095,-0.018931292,0.99833137,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528509129,0.25766078,-0.51246166,-0.044162963,0.04646483,0.030964488,-0.018945128,0.9982602,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528537151,-0.0020738533,-0.1489153,-0.04293896,0.04671615,0.031272322,-0.019206565,0.99823385,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528569213,-0.09526332,0.13939299,0.01262762,0.046885986,0.030223124,-0.020069037,0.99824125,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528601203,-0.12708507,-0.0892444,-0.04244584,0.047179576,0.03032844,-0.020586286,0.9982137,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528633997,0.10422795,0.4725411,-0.014197159,0.04748577,0.029168451,-0.021216521,0.9982205,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528665913,-0.010552174,-0.48527637,-0.04469874,0.04797591,0.029719582,-0.021838766,0.9981674,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528697977,-0.06521439,0.69221413,-0.0075836373,0.048529502,0.02778417,-0.02170084,0.99819946,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528729982,0.07106326,-0.5385321,-0.06528899,0.049064662,0.028201932,-0.021055724,0.9981754,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528757885,0.047390018,-0.1519891,-0.054163195,0.04955655,0.027196527,-0.020740183,0.9981855,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528790004,-0.1565443,0.37465465,-0.017915543,0.05015054,0.025051469,-0.020512022,0.9982168,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528821946,0.28198886,-0.30632055,-0.06666633,0.05074955,0.024492482,-0.019694693,0.9982168,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528853912,-0.16713926,0.43874997,0.008186147,0.05122794,0.021935925,-0.020124799,0.9982433,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528886052,0.21556492,-0.09486192,-0.06123486,0.051756717,0.021164654,-0.01974223,0.99824023,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528917976,-0.21133909,0.056830112,-0.0100043835,0.052243236,0.020277457,-0.020815635,0.99821156,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528949977,0.20107903,0.041949186,-0.04097648,0.052775618,0.01998511,-0.02109465,0.99818355,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2528982020,-0.34437478,-0.07688959,-0.033531528,0.053222388,0.020983802,-0.022191739,0.99811554,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529014757,0.20546347,0.17061877,-0.023658216,0.05357474,0.020904616,-0.022200417,0.99809813,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529046701,-0.23603177,-0.4535031,-0.031244496,0.053927712,0.022494977,-0.023096949,0.9980243,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529078754,0.014754237,0.4694892,-0.010069841,0.054171454,0.022538297,-0.022897745,0.9980146,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529110678,-0.054828536,-0.6427764,-0.04287117,0.05450563,0.02521664,-0.022931263,0.99793154,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529142800,0.039571196,0.50068235,0.010744307,0.05478163,0.02473368,-0.022897456,0.99792933,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529174762,-0.10186043,-0.5830111,-0.046315942,0.055044867,0.026195105,-0.023343869,0.9978673,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529206761,-0.0006456375,0.5468212,0.0002961467,0.05529082,0.025057858,-0.0234081,0.9978813,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529238781,0.21527228,-0.57861996,-0.026239973,0.05553332,0.026194036,-0.023502795,0.9978365,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529270814,-0.27884114,0.51580393,0.011912345,0.05582389,0.025154388,-0.023876807,0.9978381,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
