timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
2492952087,1544809272800354,323880286,-1170761103,30637,-3806,0.31300002,0.044476397,0.89400005,1.363,0.53,0.77,93,2,6.4700003,4.9620004,4.1530004,-2.3400002,0.72866756,0,nan,0.0,4,1,22
2493154037,1544809273000354,323880377,-1170761017,31127,-3316,0.305,0.042061035,0.896,1.363,0.53,0.77,93,2,6.453,5.1470003,3.8930001,-2.292,0.68236715,0,nan,0.0,4,1,22
2493353072,1544809273200354,323880469,-1170760936,31594,-2849,0.305,0.041763633,0.897,1.363,0.53,0.77,93,2,6.235,4.9940004,3.7330003,-2.229,0.66009694,0,nan,0.0,4,1,22
2493553096,1544809273400354,323880558,-1170760856,31965,-2478,0.32200003,0.03846583,0.896,1.36,0.53,0.77,93,2,6.399,5.0400004,3.9420002,-2.176,0.66221434,0,nan,0.0,4,1,22
2493752060,1544809273600354,323880645,-1170760773,32411,-2032,0.333,0.042919215,0.897,1.3590001,0.53,0.77,93,2,6.1080003,4.6870003,3.9160001,-2.1430001,0.6790973,0,nan,0.0,4,1,22
2493957196,1544809273800354,323880728,-1170760692,32878,-1564,0.347,0.04611247,0.90000004,1.3590001,0.53,0.77,93,2,5.7770004,4.4960003,3.6280003,-2.266,0.67897475,0,nan,0.0,4,1,22
2494166211,1544809274000354,323880806,-1170760613,33292,-1151,0.31800002,0.047237158,0.90200007,1.3610001,0.53,0.77,93,2,5.6740003,4.1850004,3.831,-2.088,0.7116637,0,nan,0.0,4,1,22
2494357040,1544809274200354,323880880,-1170760536,33677,-765,0.317,0.053267095,0.90300006,1.3640001,0.53,0.77,93,2,5.452,4.083,3.614,-1.9260001,0.7177731,0,nan,0.0,4,1,22
2494559225,1544809274400354,323880952,-1170760462,34042,-400,0.337,0.056571003,0.906,1.3690001,0.53,0.77,93,2,5.215,3.9270003,3.4320002,-1.8690001,0.71804655,0,nan,0.0,4,1,22
2494762071,1544809274600354,323881021,-1170760390,34476,33,0.32000002,0.061217595,0.90700006,1.373,0.53,0.77,93,2,4.7180004,3.5470002,3.111,-1.8220001,0.7190339,0,nan,0.0,4,1,22
2494956083,1544809274800354,323881083,-1170760328,34895,452,0.307,0.063392796,0.90800005,1.3750001,0.53,0.77,93,2,4.097,3.249,2.4950001,-1.9930001,0.687098,0,nan,0.0,4,1,22
2495159556,1544809275000354,323881139,-1170760277,35249,807,0.30900002,0.07435102,0.90900004,1.3790001,0.53,0.77,93,3,3.6590002,2.8500001,2.295,-1.7500001,0.6830918,0,nan,0.0,4,1,22
2495359017,1544809275200354,323881186,-1170760231,35563,1120,0.30800003,0.087187916,0.91,1.3820001,0.53,0.77,93,3,3.0820003,2.2840002,2.0700002,-1.6710001,0.70594203,0,nan,0.0,4,1,22
2495556279,1544809275400353,323881223,-1170760192,35824,1382,0.31300002,0.10134725,0.9110001,1.3850001,0.53,0.77,93,3,2.584,1.8280001,1.8260001,-1.519,0.73994136,0,nan,0.0,4,1,22
2495757014,1544809275600353,323881253,-1170760157,36082,1639,0.30200002,0.11817659,0.9110001,1.386,0.53,0.77,93,3,2.173,1.4460001,1.621,-1.4870001,0.78366464,0,nan,0.0,4,1,22
2495947739,1544809275800353,323881274,-1170760128,36403,1960,0.32700002,0.17050801,0.9110001,1.389,0.53,0.77,93,3,1.5410001,0.93000007,1.2290001,-1.514,0.8291113,0,nan,0.0,4,1,22
2496173029,1544809276000353,323881288,-1170760105,36703,2260,0.33400002,0.25265732,0.91200006,1.3920001,0.53,0.77,93,2,1.098,0.53900003,0.95600003,-1.475,0.90068495,0,nan,0.0,4,1,22
2496362091,1544809276200353,323881286,-1170760096,36914,2472,0.24700001,0.20205815,0.89000005,1.348,0.53,0.77,93,2,0.80500007,0.268,0.75900006,-1.5450001,1.1028018,0,nan,0.0,4,1,22
2496562052,1544809276400353,323881289,-1170760084,37183,2740,0.245,0.23423626,0.86600006,1.3100001,0.53,0.77,93,2,0.643,0.17600001,0.61800003,-1.5600001,1.1841741,0,nan,0.0,4,1,22
2496767319,1544809276600353,323881292,-1170760072,37577,3134,0.23600002,0.3157805,0.84300005,1.2720001,0.53,0.77,93,2,0.49500003,0.045,0.49300003,-1.6300001,1.289019,0,nan,0.0,4,1,22
2496963264,1544809276800353,323881295,-1170760058,38060,3617,0.25,0.31592777,0.82600003,1.246,0.53,0.77,93,2,0.21200001,-0.027,0.21000001,-1.6840001,1.289019,0,nan,0.0,4,1,22
2497163366,1544809277000353,323881294,-1170760048,38464,4021,0.24900001,0.31608033,0.81200004,1.223,0.53,0.77,108,4,0.094000004,-0.094000004,-0.009000001,-1.756,1.289019,0,nan,0.0,4,1,22
2497357056,1544809277200353,323881293,-1170760051,38782,4340,0.254,0.31621805,0.80200005,1.2090001,0.53,0.77,108,4,0.075,0.009000001,-0.075,-1.585,1.289019,0,nan,0.0,4,1,22
2497565068,1544809277400353,323881293,-1170760052,39139,4696,0.263,0.3163573,0.79300004,1.1960001,0.53,0.77,108,4,0.19000001,0.034,-0.187,-1.5970001,1.289019,0,nan,0.0,4,1,22
2497757041,1544809277600353,323881297,-1170760051,39556,5113,0.264,0.31648874,0.785,1.1860001,0.53,0.77,108,4,0.24800001,0.157,-0.192,-1.496,1.289019,0,nan,0.0,4,1,22
2497960157,1544809277800353,323881301,-1170760057,39883,5440,0.264,0.47227314,0.777,1.1780001,0.53,0.77,108,4,0.42200002,0.07,-0.41700003,-1.5860001,0.4537643,0,nan,0.0,4,1,22
2498173716,1544809278000353,323881303,-1170760067,40251,5808,0.26000002,0.44429484,0.77000004,1.1680001,0.53,0.77,108,4,0.42600003,0.10300001,-0.41400003,-1.5600001,5.7919135,0,nan,0.0,4,1,22
2498370014,1544809278200353,323881310,-1170760077,40613,6171,0.25500003,0.3736521,0.762,1.1600001,0.53,0.77,108,4,0.512,0.29200003,-0.42100003,-1.4720001,5.514801,0,nan,0.0,4,1,22
2498561103,1544809278400352,323881313,-1170760090,40978,6535,0.24200001,0.276956,0.75500005,1.1500001,0.53,0.77,108,4,0.69900006,0.16600001,-0.679,-1.672,5.1516476,0,nan,0.0,4,1,22
2498762024,1544809278600352,323881316,-1170760103,41285,6843,0.23500001,0.31802025,0.749,1.139,0.53,0.77,108,4,0.61300004,0.156,-0.59300005,-1.337,5.0732265,0,nan,0.0,4,1,22
2498964056,1544809278800352,323881321,-1170760117,41442,6999,0.20400001,0.30145308,0.74300003,1.133,0.53,0.77,108,4,0.65500003,0.30800003,-0.578,-0.62700003,5.1408706,0,nan,0.0,4,1,22
2499164123,1544809279000352,323881326,-1170760130,41604,7162,0.179,0.2988007,0.73800004,1.125,0.53,0.77,108,4,0.651,0.19600001,-0.62100005,-0.48200002,5.079346,0,nan,0.0,4,1,22
2499368537,1544809279200352,323881333,-1170760138,41829,7386,0.164,0.39570415,0.73200005,1.1140001,0.53,0.77,108,4,0.503,0.29700002,-0.40600002,-0.37800002,5.1751776,0,nan,0.0,4,1,22
2499569159,1544809279400352,323881339,-1170760153,41945,7502,0.185,0.18848647,0.72700006,1.107,0.53,0.77,108,4,0.943,0.081,-0.94000006,-0.377,4.867965,0,nan,0.0,4,1,22
2499764072,1544809279600352,323881341,-1170760173,42073,7631,0.18900001,0.18447518,0.72200006,1.1010001,0.53,0.77,108,4,1.028,0.043,-1.0270001,-0.30200002,4.8096976,0,nan,0.0,4,1,22
