timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2534900049,-0.24351536,-0.054539926,0.43767285
2534920988,-0.24634737,-0.059436977,0.43876877
2534941986,-0.2491794,-0.05821271,0.43876877
2534964034,-0.2491794,-0.056988448,0.435481
2534986039,-0.2505954,-0.0618855,0.435481
2535009984,-0.24776338,-0.055764187,0.43328917
2535033993,-0.25342742,-0.060661238,0.435481
2535058026,-0.25342742,-0.056988448,0.43767285
2535081072,-0.2505954,-0.054539926,0.43328917
2535102986,-0.2505954,-0.05331566,0.4343851
2535124983,-0.2520114,-0.05821271,0.4343851
2535148043,-0.2562594,-0.055764187,0.43657693
2535169995,-0.25342742,-0.05331566,0.43328917
2535192983,-0.2548434,-0.055764187,0.43767285
2535214986,-0.2505954,-0.054539926,0.4343851
2535237983,-0.2548434,-0.0520914,0.43876877
2535260985,-0.2491794,-0.055764187,0.43657693
2535284597,-0.2548434,-0.056988448,0.435481
2535305986,-0.25342742,-0.0520914,0.435481
2535328113,-0.2520114,-0.05331566,0.43219322
2535350992,-0.2548434,-0.05331566,0.435481
2535372983,-0.2562594,-0.055764187,0.43328917
2535395099,-0.2576754,-0.0520914,0.4398647
2535416984,-0.25909144,-0.0520914,0.43328917
2535438987,-0.2562594,-0.054539926,0.43657693
2535460993,-0.25342742,-0.060661238,0.4343851
2535481983,-0.2520114,-0.0520914,0.435481
2535502984,-0.2562594,-0.056988448,0.4310973
2535525983,-0.25342742,-0.056988448,0.43876877
2535548985,-0.25342742,-0.05331566,0.435481
2535572619,-0.2520114,-0.054539926,0.435481
2535596983,-0.2548434,-0.054539926,0.43328917
2535621245,-0.2576754,-0.059436977,0.43657693
2535644706,-0.2562594,-0.055764187,0.43328917
2535666029,-0.2562594,-0.054539926,0.43328917
2535688529,-0.2505954,-0.05086714,0.435481
2535710027,-0.25342742,-0.054539926,0.4343851
2535733381,-0.24493137,-0.054539926,0.43328917
2535757758,-0.2505954,-0.05821271,0.43767285
2535781384,-0.24776338,-0.05331566,0.4343851
2535802986,-0.2548434,-0.05821271,0.43328917
2535824984,-0.2520114,-0.05821271,0.4343851
2535846994,-0.2505954,-0.056988448,0.43328917
2535869370,-0.2548434,-0.055764187,0.4343851
2535893373,-0.2562594,-0.05331566,0.43767285
2535914029,-0.2505954,-0.056988448,0.4343851
2535937031,-0.24776338,-0.056988448,0.4343851
2535959107,-0.25342742,-0.05331566,0.43657693
2535981984,-0.25342742,-0.056988448,0.43328917
2536006098,-0.2562594,-0.054539926,0.43876877
2536030063,-0.25342742,-0.055764187,0.43767285
2536052043,-0.24634737,-0.059436977,0.43657693
2536075986,-0.25342742,-0.05821271,0.43657693
2536100027,-0.2505954,-0.060661238,0.43657693
2536123015,-0.2491794,-0.05821271,0.43767285
2536145328,-0.2520114,-0.05821271,0.43767285
2536168073,-0.24634737,-0.059436977,0.43767285
2536190132,-0.2505954,-0.05821271,0.435481
2536214520,-0.2520114,-0.060661238,0.4343851
2536238299,-0.2491794,-0.059436977,0.43657693
2536259984,-0.2520114,-0.055764187,0.435481
2536284026,-0.2505954,-0.054539926,0.43657693
2536307995,-0.2491794,-0.059436977,0.435481
2536332027,-0.2520114,-0.06310976,0.43657693
2536356013,-0.2548434,-0.059436977,0.43767285
2536378983,-0.2505954,-0.055764187,0.43767285
2536401334,-0.2491794,-0.05821271,0.44096062
2536422312,-0.24634737,-0.056988448,0.4398647
2536444029,-0.2520114,-0.05821271,0.43767285
2536468050,-0.2505954,-0.060661238,0.43876877
2536490170,-0.2520114,-0.055764187,0.43876877
2536513030,-0.24634737,-0.059436977,0.4398647
2536534998,-0.24209936,-0.060661238,0.4398647
2536556995,-0.2491794,-0.060661238,0.4398647
2536581027,-0.24209936,-0.06310976,0.43767285
2536604993,-0.2491794,-0.060661238,0.4398647
2536626995,-0.24351536,-0.06310976,0.4398647
2536650151,-0.24493137,-0.06310976,0.43876877
2536673016,-0.24776338,-0.0618855,0.43876877
2536695011,-0.24634737,-0.059436977,0.43657693
2536719343,-0.2520114,-0.06310976,0.43767285
2536740124,-0.2491794,-0.060661238,0.435481
2536762481,-0.24634737,-0.065558285,0.43657693
2536784984,-0.2548434,-0.060661238,0.435481
2536808030,-0.2491794,-0.06310976,0.435481
2536830983,-0.2520114,-0.06678254,0.43328917
2536852986,-0.2491794,-0.06310976,0.435481
2536873986,-0.2548434,-0.06310976,0.435481
2536896024,-0.2548434,-0.06433402,0.43657693
2536917995,-0.25342742,-0.06433402,0.4343851
2536940067,-0.25342742,-0.0618855,0.43219322
2536960994,-0.25342742,-0.0618855,0.43876877
2536984028,-0.25342742,-0.06433402,0.43328917
2537005984,-0.2548434,-0.06310976,0.43657693
2537028091,-0.2576754,-0.06310976,0.4343851
2537050026,-0.25342742,-0.06678254,0.43657693
2537073027,-0.2520114,-0.065558285,0.4343851
2537096028,-0.2520114,-0.068006806,0.43328917
2537118043,-0.2505954,-0.0618855,0.435481
2537141984,-0.2491794,-0.060661238,0.43219322
2537167911,-0.2491794,-0.0618855,0.43657693
2537188986,-0.2562594,-0.05821271,0.43657693
2537212835,-0.25342742,-0.05821271,0.43767285
2537233983,-0.2520114,-0.06310976,0.4343851
2537256495,-0.25342742,-0.05821271,0.43328917
2537279141,-0.2562594,-0.060661238,0.43657693
2537301534,-0.2520114,-0.05821271,0.43657693
2537326192,-0.2491794,-0.056988448,0.43657693
2537348024,-0.24776338,-0.060661238,0.4398647
2537372036,-0.2491794,-0.0618855,0.43657693
2537396595,-0.25342742,-0.06433402,0.43767285
