timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
2489528115,nan,nan,nan,nan,1.0954279,9.053478,4.240439,-1.7859802,nan,nan,nan,nan,nan,nan,nan,nan,nan
2489726682,nan,nan,nan,nan,2.2704074,8.811692,4.6736555,-1.7859561,nan,nan,nan,nan,nan,nan,nan,nan,nan
2489927529,nan,nan,nan,nan,2.3519382,8.500021,5.066388,-1.7874091,nan,nan,nan,nan,nan,nan,nan,nan,nan
2490135642,nan,nan,nan,nan,2.3841364,8.102797,5.4008493,-1.7859526,nan,nan,nan,nan,nan,nan,nan,nan,nan
2490337687,nan,nan,nan,nan,2.4365542,7.656468,5.634857,-1.7859424,nan,nan,nan,nan,nan,nan,nan,nan,nan
2490537652,nan,nan,nan,nan,2.536629,7.1755114,5.76691,-1.7859424,nan,nan,nan,nan,nan,nan,nan,nan,nan
2490746213,nan,nan,nan,nan,2.7825472,6.6554446,5.7916865,-1.7834544,nan,nan,nan,nan,nan,nan,nan,nan,nan
2490944838,nan,nan,nan,nan,2.9112418,6.1672716,5.7080326,-1.7782863,nan,nan,nan,nan,nan,nan,nan,nan,nan
2491151389,nan,nan,nan,nan,2.9171433,5.6904593,5.511823,-1.7823181,nan,nan,nan,nan,nan,nan,nan,nan,nan
2491346716,nan,nan,nan,nan,2.931693,5.29429,5.2282834,-1.7787249,nan,nan,nan,nan,nan,nan,nan,nan,nan
2491554682,nan,nan,nan,nan,2.9469612,4.962871,4.829639,-1.7788427,nan,nan,nan,nan,nan,nan,nan,nan,nan
2491755776,nan,nan,nan,nan,2.9604445,4.751557,4.375157,-1.7801552,nan,nan,nan,nan,nan,nan,nan,nan,nan
2491956831,nan,nan,nan,nan,2.9696305,4.664873,3.8817787,-1.7825857,nan,nan,nan,nan,nan,nan,nan,nan,nan
2492164304,nan,nan,nan,nan,2.8338747,4.726664,3.3687477,-1.7859031,nan,nan,nan,nan,nan,nan,nan,nan,nan
2492365395,nan,nan,nan,nan,1.8414675,4.9529405,2.9229777,-1.7782466,nan,nan,nan,nan,nan,nan,nan,nan,nan
2492565337,nan,nan,nan,nan,1.8052555,5.339779,2.6149476,-1.7850591,nan,nan,nan,nan,nan,nan,nan,nan,nan
2492766505,nan,nan,nan,nan,2.1274931,5.827308,2.608981,-1.7813561,nan,nan,nan,nan,nan,nan,nan,nan,nan
2492973863,nan,nan,nan,nan,2.3031137,6.097975,3.0387807,-1.7801528,nan,nan,nan,nan,nan,nan,nan,nan,nan
