timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2482234368,32767,32767,32767,32767,-51,32767,32767
2482238368,32767,32767,32767,32767,32767,32767,32767
2482242369,32767,32767,32767,32767,32767,-53,32767
2482246369,32767,32767,32767,32767,32767,32767,32767
2482250368,32767,32767,32767,32767,32767,32767,32767
2482254369,32767,32767,32767,32767,32767,32767,32767
2482258368,32767,32767,32767,32767,-69,32767,32767
2482262369,32767,32767,32767,32767,32767,32767,32767
2482266368,32767,32767,32767,32767,-53,-74,32767
2482270368,32767,32767,32767,32767,32767,32767,32767
2482274368,32767,32767,32767,32767,32767,32767,32767
2482278369,32767,32767,32767,32767,-64,32767,32767
2482282367,32767,32767,32767,32767,32767,32767,32767
2482286369,32767,32767,32767,32767,32767,-66,32767
2482290379,32767,32767,32767,32767,32767,32767,32767
2482294372,32767,32767,32767,32767,32767,32767,32767
2482298368,32767,32767,32767,32767,-50,32767,32767
2482302369,32767,32767,32767,32767,32767,32767,32767
2482307193,32767,32767,32767,32767,32767,-62,32767
2482311193,32767,32767,32767,32767,-75,32767,32767
2482315192,32767,32767,32767,32767,32767,32767,32767
2482319198,32767,32767,32767,32767,-62,32767,32767
2482323193,32767,32767,32767,32767,32767,32767,32767
2482327193,32767,32767,32767,32767,32767,32767,32767
2482331192,32767,32767,32767,32767,32767,-68,32767
2482335192,32767,32767,32767,32767,32767,32767,32767
2482339198,32767,32767,32767,32767,-51,32767,32767
2482343194,32767,32767,32767,32767,32767,32767,32767
2482347192,32767,32767,32767,32767,32767,32767,32767
2482351197,32767,32767,32767,32767,-70,32767,32767
2482355191,32767,32767,32767,32767,32767,-67,32767
2482359207,32767,32767,32767,32767,-53,32767,32767
2482363201,32767,32767,32767,32767,32767,32767,32767
2482367200,32767,32767,32767,32767,32767,32767,32767
2482371191,32767,32767,32767,32767,32767,32767,32767
2482375193,32767,32767,-51,32767,32767,-52,32767
2482379201,32767,32767,32767,32767,32767,32767,32767
2482383192,32767,32767,32767,32767,-71,32767,32767
2482387192,32767,32767,32767,32767,32767,32767,32767
2482391192,32767,32767,32767,32767,-51,32767,32767
