timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2481308768,-0.05192184,0.10926115,-0.018332595,4000,0,0.72227174,2.0884678,-10.091518,4000
2481312767,0.053270932,0.0645486,-0.008459408,3999,0,-0.7549887,0.71014535,-11.450521,3999
2481316768,-0.048109185,0.0013333152,0.00431659,4001,0,0.4827543,1.3492908,-9.614149,4001
2481320768,-0.01028058,-0.06036801,0.013461109,4000,0,0.15479907,-0.3158057,-8.543439,4000
2481324768,0.0042324187,-0.04547036,0.022495879,4000,0,-1.1621231,-0.33399877,-8.946463,4000
2481328768,-0.06730405,0.11248154,0.0032171265,4000,0,0.25043985,1.6305534,-9.638339,4000
2481332768,0.05944133,0.04625191,0.013563329,4000,0,0.25751284,1.712547,-11.537958,4000
2481336769,-0.0006838416,-0.0143015,0.027238226,4001,0,-0.53924763,1.0525904,-10.432671,4001
2481340768,0.052694075,-0.046865366,0.031211315,3999,0,0.65218663,-0.9017471,-8.748477,3999
2481344768,-0.033112388,-0.12345614,0.03555572,4000,0,-0.33637568,0.96688896,-8.622424,4000
2481348768,0.009083308,0.05208502,0.015973771,4000,0,-0.96879387,0.3430054,-9.584947,4000
2481352768,0.029325526,0.08368022,0.006441108,4000,0,0.98572516,2.044714,-11.529762,4000
2481356767,0.0128161935,-0.026565019,0.020079698,3999,0,-0.018940128,1.7639126,-11.150466,3999
2481360768,0.10190003,-0.065813474,0.022953972,4001,0,-0.19443595,-0.08400961,-9.316776,4001
2481364768,-0.033394113,-0.09446327,0.014852815,4000,0,0.16840929,1.1452422,-7.6708803,4000
2481368768,0.00093455974,-0.037257183,0.0015103075,4000,0,-1.1903694,0.10589211,-9.37232,4000
2481372768,0.03681458,0.09246404,-0.02101764,4000,0,0.84437966,2.5685802,-11.384658,4000
2481376768,0.05094175,0.008112257,-0.016278973,4000,0,0.4233551,0.73060143,-11.809177,4000
2481380768,0.021038027,-0.05124847,-0.0013585344,4000,0,-0.57389045,1.1116865,-9.507325,4000
2481384768,0.01370883,-0.075483434,-0.006345369,4000,0,0.59349287,0.97709775,-7.5233903,4000
2481388767,0.012567249,-0.08605842,-0.024111995,3999,0,-1.191601,-0.44963512,-8.718417,3999
2481392768,-0.035105787,0.1306469,-0.039511744,4001,0,-0.17569615,2.3637178,-10.198067,4001
2481396768,0.08843147,0.028750673,-0.03150381,4000,0,1.657611,1.0416642,-11.583071,4000
2481400768,0.012358689,-0.082462735,-0.017719764,4000,0,-1.3108897,1.243917,-9.957739,4000
2481404768,0.0034470644,-0.030713905,-0.0125083765,4000,0,-0.03966783,-0.8837202,-8.384718,4000
2481408769,0.0030596752,-0.0491238,-0.02903104,4001,0,0.2868775,0.24742,-8.782861,4001
2481412768,-0.034431517,0.06649594,-0.041472916,3999,0,-1.9809031,1.5959663,-10.215505,3999
2481416768,0.02868028,0.094090976,-0.034380876,4000,0,1.6221362,1.235995,-11.356344,4000
2481420788,0.017212309,-0.07598852,-0.014706087,4020,0,0.20702355,1.2762153,-9.843135,4020
2481424795,0.012173498,-0.037475817,0.0015987633,4007,0,-2.0333264,-0.77925396,-9.189488,4007
2481428789,-0.03293893,-0.004735348,-0.009550367,3994,0,1.0389982,0.34930882,-8.411079,3994
2481432791,0.029817315,-0.0048713754,-0.014644846,4002,0,-1.6306106,0.8702467,-9.674065,4002
2481436790,0.0032483176,0.08006968,-0.0036958244,3999,0,0.14642237,0.8368166,-10.369149,3999
