rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vtol_state,landed_state
1545224276985075975,,5471,,1545224276,150492173,'',0,2
1545224276985621963,,5472,,1545224276,344556261,'',0,2
1545224277604161842,,5473,,1545224276,547883533,'',0,2
1545224277604228372,,5474,,1545224276,748483891,'',0,2
1545224277604285108,,5475,,1545224276,947780088,'',0,2
1545224278384038611,,5476,,1545224277,149616222,'',0,2
1545224278384126296,,5477,,1545224277,350209341,'',0,2
1545224278384150032,,5478,,1545224277,547790860,'',0,2
1545224278994599024,,5479,,1545224277,747891846,'',0,2
1545224278994939352,,5480,,1545224277,947872728,'',0,2
1545224278994964486,,5481,,1545224278,147962516,'',0,2
1545224280439573444,,5482,,1545224278,350725417,'',0,2
1545224280439595770,,5483,,1545224278,550504009,'',0,2
1545224280439622654,,5484,,1545224278,749248075,'',0,2
1545224280439662741,,5485,,1545224278,950237442,'',0,2
1545224280439701188,,5486,,1545224279,148122919,'',0,2
1545224281014714560,,5487,,1545224279,348391769,'',0,2
1545224281014754344,,5488,,1545224279,549761344,'',0,2
1545224281014762193,,5489,,1545224279,750016548,'',0,2
1545224281014769263,,5490,,1545224279,950616751,'',0,2
1545224281014927885,,5491,,1545224280,149803680,'',0,2
1545224281360078995,,5492,,1545224280,350272374,'',0,2
1545224281360522923,,5493,,1545224280,549832374,'',0,2
1545224281360609064,,5494,,1545224280,750261433,'',0,2
1545224281360659273,,5495,,1545224280,948733209,'',0,2
1545224281528346281,,5496,,1545224281,147777796,'',0,2
1545224281528506776,,5497,,1545224281,350946425,'',0,2
1545224281740046530,,5498,,1545224281,546379206,'',0,2
1545224281852261946,,5499,,1545224281,748416382,'',0,2
1545224282115443925,,5500,,1545224281,951319439,'',0,2
1545224282275764358,,5501,,1545224282,147055709,'',0,2
1545224282452696260,,5502,,1545224282,348830647,'',0,2
1545224282592518058,,5503,,1545224282,546160139,'',0,2
1545224282814695915,,5504,,1545224282,749568350,'',0,2
1545224282952091977,,5505,,1545224282,946827008,'',0,2
1545224283188272913,,5506,,1545224283,151128393,'',0,2
1545224283362166066,,5507,,1545224283,348525384,'',0,2
1545224283562468971,,5508,,1545224283,547513930,'',0,2
1545224283773970173,,5509,,1545224283,749433087,'',0,2
1545224283962263804,,5510,,1545224283,949848553,'',0,2
1545224284204690994,,5511,,1545224284,147408721,'',0,2
1545224284352503976,,5512,,1545224284,348343508,'',0,2
1545224284573247948,,5513,,1545224284,551569377,'',0,2
1545224284791664523,,5514,,1545224284,747212159,'',0,2
1545224284953875092,,5515,,1545224284,944715557,'',0,2
1545224285161121454,,5516,,1545224285,148154863,'',0,2
1545224285362066870,,5517,,1545224285,347721740,'',0,2
1545224285562135781,,5518,,1545224285,548213405,'',0,2
1545224285760627479,,5519,,1545224285,750322041,'',0,2
1545224286189434951,,5520,,1545224285,950469540,'',0,2
1545224286244572953,,5521,,1545224286,145727950,'',0,2
1545224286455552972,,5522,,1545224286,348351375,'',0,2
1545224286563992137,,5523,,1545224286,548601999,'',0,2
1545224286840155143,,5524,,1545224286,747102320,'',0,2
1545224286958093013,,5525,,1545224286,950219545,'',0,2
1545224287163762787,,5526,,1545224287,150654492,'',0,2
1545224287367794814,,5527,,1545224287,348937626,'',0,2
1545224287640982232,,5528,,1545224287,543451925,'',0,2
1545224287758385077,,5529,,1545224287,751917301,'',0,2
1545224287962717968,,5530,,1545224287,948747266,'',0,2
1545224288151962939,,5531,,1545224288,148666278,'',0,2
1545224288360715798,,5532,,1545224288,352077721,'',0,2
1545224288561973781,,5533,,1545224288,549237268,'',0,2
1545224289046016243,,5534,,1545224288,747254519,'',0,2
1545224289125568366,,5535,,1545224288,946550306,'',0,2
1545224289258119308,,5536,,1545224289,149036545,'',0,2
1545224289356129731,,5537,,1545224289,349875710,'',0,2
1545224289560472748,,5538,,1545224289,549208788,'',0,2
1545224289765599462,,5539,,1545224289,749043791,'',0,2
1545224289955649337,,5540,,1545224289,950516650,'',0,2
1545224290163244956,,5541,,1545224290,146990420,'',0,2
1545224290353436347,,5542,,1545224290,347025162,'',0,2
1545224290554694942,,5543,,1545224290,549896504,'',0,2
1545224290764154474,,5544,,1545224290,747390269,'',0,2
1545224290952699179,,5545,,1545224290,948407766,'',0,2
1545224291256343627,,5546,,1545224291,148090791,'',0,2
1545224291359793108,,5547,,1545224291,346929758,'',0,2
1545224291567025741,,5548,,1545224291,549639487,'',0,2
1545224291782287094,,5549,,1545224291,747526948,'',0,2
1545224291955798266,,5550,,1545224291,945747429,'',0,2
1545224292153370966,,5551,,1545224292,150208868,'',0,2
1545224292396546045,,5552,,1545224292,350085174,'',0,2
1545224292557349854,,5553,,1545224292,551569233,'',0,2
1545224292764966094,,5554,,1545224292,751381997,'',0,2
1545224293006966943,,5555,,1545224292,947548478,'',0,2
1545224293154080341,,5556,,1545224293,148555924,'',0,2
1545224293373875386,,5557,,1545224293,344086002,'',0,2
1545224293551888311,,5558,,1545224293,546317505,'',0,2
1545224293761793723,,5559,,1545224293,748540935,'',0,2
1545224293988705318,,5560,,1545224293,952196182,'',0,2
1545224294240902245,,5561,,1545224294,149468022,'',0,2
1545224294370784696,,5562,,1545224294,349225215,'',0,2
1545224294584638570,,5563,,1545224294,548186786,'',0,2
1545224294763330791,,5564,,1545224294,748617570,'',0,2
1545224294961195886,,5565,,1545224294,951744433,'',0,2
1545224295149467419,,5566,,1545224295,144353172,'',0,2
1545224295368651874,,5567,,1545224295,347717743,'',0,2
1545224295578070085,,5568,,1545224295,548831388,'',0,2
1545224295751143686,,5569,,1545224295,747073901,'',0,2
1545224295962623198,,5570,,1545224295,947643382,'',0,2
1545224296158881567,,5571,,1545224296,148844579,'',0,2
1545224296355442442,,5572,,1545224296,351633112,'',0,2
1545224296551645393,,5573,,1545224296,546954650,'',0,2
1545224296751067464,,5574,,1545224296,747891369,'',0,2
1545224297084111666,,5575,,1545224296,949643553,'',0,2
1545224297178121919,,5576,,1545224297,149331425,'',0,2
1545224297359897938,,5577,,1545224297,350038614,'',0,2
1545224297554944088,,5578,,1545224297,547206498,'',0,2
1545224297754963017,,5579,,1545224297,747838844,'',0,2
1545224297956953465,,5580,,1545224297,947213019,'',0,2
1545224298156011035,,5581,,1545224298,146991619,'',0,2
1545224298356531683,,5582,,1545224298,348556721,'',0,2
1545224298551530302,,5583,,1545224298,549524691,'',0,2
1545224298754774313,,5584,,1545224298,751236459,'',0,2
1545224298954958158,,5585,,1545224298,948338459,'',0,2
1545224299153926988,,5586,,1545224299,145895664,'',0,2
1545224299363459149,,5587,,1545224299,351694079,'',0,2
1545224299553877273,,5588,,1545224299,550473102,'',0,2
1545224299758272442,,5589,,1545224299,748290150,'',0,2
1545224299960447524,,5590,,1545224299,948605467,'',0,2
1545224300156579662,,5591,,1545224300,148916462,'',0,2
1545224300356900013,,5592,,1545224300,350181514,'',0,2
1545224300557577981,,5593,,1545224300,549579336,'',0,2
1545224300757781892,,5594,,1545224300,749068251,'',0,2
1545224300955816621,,5595,,1545224300,948729458,'',0,2
1545224301155682882,,5596,,1545224301,146997858,'',0,2
1545224301352061445,,5597,,1545224301,348321296,'',0,2
1545224301564576940,,5598,,1545224301,549587703,'',0,2
1545224301788603570,,5599,,1545224301,750100677,'',0,2
1545224301959076086,,5600,,1545224301,950265058,'',0,2
1545224302176116517,,5601,,1545224302,144647593,'',0,2
1545224302353931530,,5602,,1545224302,350222520,'',0,2
1545224302554605574,,5603,,1545224302,549664145,'',0,2
1545224302750800173,,5604,,1545224302,747868328,'',0,2
1545224302956305423,,5605,,1545224302,950414156,'',0,2
1545224303161192397,,5606,,1545224303,149385731,'',0,2
1545224303352880582,,5607,,1545224303,349683759,'',0,2
1545224303556506071,,5608,,1545224303,550724386,'',0,2
1545224303763754795,,5609,,1545224303,751495536,'',0,2
1545224303956156201,,5610,,1545224303,947412283,'',0,2
1545224304148707703,,5611,,1545224304,144368035,'',0,2
1545224304352552300,,5612,,1545224304,347241414,'',0,2
1545224304547978727,,5613,,1545224304,544492582,'',0,2
1545224304891013766,,5614,,1545224304,751757450,'',0,2
1545224304970509274,,5615,,1545224304,947960498,'',0,2
1545224305172477172,,5616,,1545224305,152009497,'',0,2
1545224305368804166,,5617,,1545224305,348883427,'',0,2
1545224305561185509,,5618,,1545224305,548826717,'',0,2
1545224305750696863,,5619,,1545224305,745835959,'',0,2
1545224305955961445,,5620,,1545224305,948289185,'',0,2
1545224306158241308,,5621,,1545224306,148405912,'',0,2
1545224306365181871,,5622,,1545224306,351211324,'',0,2
1545224306565174314,,5623,,1545224306,547950151,'',0,2
1545224306772394111,,5624,,1545224306,748983748,'',0,2
1545224306952194360,,5625,,1545224306,947226631,'',0,2
1545224307154398502,,5626,,1545224307,146194978,'',0,2
1545224307353622575,,5627,,1545224307,347093577,'',0,2
1545224307555488776,,5628,,1545224307,546221559,'',0,2
1545224307753452715,,5629,,1545224307,748027914,'',0,2
1545224307951871102,,5630,,1545224307,946957200,'',0,2
1545224308157677809,,5631,,1545224308,148246422,'',0,2
1545224308354161184,,5632,,1545224308,346861594,'',0,2
1545224308560852167,,5633,,1545224308,549084093,'',0,2
1545224308755099228,,5634,,1545224308,747601506,'',0,2
1545224308954061701,,5635,,1545224308,947909379,'',0,2
1545224309151134197,,5636,,1545224309,146091377,'',0,2
1545224309367405311,,5637,,1545224309,348577313,'',0,2
1545224309555256452,,5638,,1545224309,547789618,'',0,2
1545224309761828000,,5639,,1545224309,748995143,'',0,2
1545224309952808533,,5640,,1545224309,947840107,'',0,2
1545224310153210903,,5641,,1545224310,148808863,'',0,2
1545224310361712575,,5642,,1545224310,347195756,'',0,2
1545224310555170718,,5643,,1545224310,547989044,'',0,2
1545224310753083659,,5644,,1545224310,747240308,'',0,2
1545224311036596066,,5645,,1545224310,944606634,'',0,2
1545224311154776877,,5646,,1545224311,148909644,'',0,2
1545224311360749310,,5647,,1545224311,347556537,'',0,2
1545224311559706229,,5648,,1545224311,548165712,'',0,2
1545224311753587794,,5649,,1545224311,749393217,'',0,2
1545224311961678185,,5650,,1545224311,951193635,'',0,2
1545224312156343861,,5651,,1545224312,147388926,'',0,2
1545224312353897223,,5652,,1545224312,348878721,'',0,2
1545224312570982404,,5653,,1545224312,547329053,'',0,2
1545224312756525629,,5654,,1545224312,746121101,'',0,2
1545224312952580745,,5655,,1545224312,948379956,'',0,2
1545224313194391262,,5656,,1545224313,148967308,'',0,2
1545224313365517107,,5657,,1545224313,352660583,'',0,2
1545224313559044798,,5658,,1545224313,544172459,'',0,2
1545224313757702472,,5659,,1545224313,749805516,'',0,2
1545224313959511717,,5660,,1545224313,950979116,'',0,2
1545224314151082237,,5661,,1545224314,145713320,'',0,2
1545224314419584872,,5662,,1545224314,346881243,'',0,2
1545224314560355379,,5663,,1545224314,547671460,'',0,2
1545224314751983957,,5664,,1545224314,745627576,'',0,2
1545224314953158739,,5665,,1545224314,947626380,'',0,2
1545224315151671209,,5666,,1545224315,146009265,'',0,2
1545224315352930070,,5667,,1545224315,346931929,'',0,2
1545224315552479270,,5668,,1545224315,548796152,'',0,2
1545224315754163049,,5669,,1545224315,746268364,'',0,2
1545224315960897152,,5670,,1545224315,947536391,'',0,2
1545224316151822973,,5671,,1545224316,146628544,'',0,2
1545224316375845310,,5672,,1545224316,347848082,'',0,2
1545224316562008392,,5673,,1545224316,548479602,'',0,2
1545224316756655637,,5674,,1545224316,749340027,'',0,2
1545224316986391324,,5675,,1545224316,948384889,'',0,2
1545224317152537405,,5676,,1545224317,146044444,'',0,2
1545224317353196242,,5677,,1545224317,347011015,'',0,2
1545224317552554830,,5678,,1545224317,548426699,'',0,2
1545224317839918650,,5679,,1545224317,747213124,'',0,2
1545224317969282480,,5680,,1545224317,949418908,'',0,2
1545224318155432879,,5681,,1545224318,147949918,'',0,2
1545224318371851585,,5682,,1545224318,346455460,'',0,2
1545224318552898698,,5683,,1545224318,547595728,'',0,2
1545224318751916541,,5684,,1545224318,746777934,'',0,2
1545224318955685931,,5685,,1545224318,948352575,'',0,2
1545224319150835775,,5686,,1545224319,148090871,'',0,2
1545224319356968245,,5687,,1545224319,348622445,'',0,2
1545224319559947556,,5688,,1545224319,547895640,'',0,2
1545224319755794057,,5689,,1545224319,746079934,'',0,2
1545224319960843560,,5690,,1545224319,949760450,'',0,2
1545224320160188296,,5691,,1545224320,148456096,'',0,2
1545224320359011439,,5692,,1545224320,348990587,'',0,2
1545224320580663765,,5693,,1545224320,546584988,'',0,2
1545224320750409060,,5694,,1545224320,745892506,'',0,2
1545224320957444765,,5695,,1545224320,943614250,'',0,2
1545224321147628017,,5696,,1545224321,144493063,'',0,2
1545224321358192822,,5697,,1545224321,349683052,'',0,2
1545224321573281695,,5698,,1545224321,546792664,'',0,2
1545224321758293937,,5699,,1545224321,745232062,'',0,2
1545224321949616853,,5700,,1545224321,942931515,'',0,2
1545224322327904349,,5701,,1545224322,146391617,'',0,2
1545224322369247507,,5702,,1545224322,346238143,'',0,2
1545224322732850647,,5703,,1545224322,548494866,'',0,2
1545224322946998002,,5704,,1545224322,749392429,'',0,2
1545224322992239779,,5705,,1545224322,948069117,'',0,2
1545224323339956437,,5706,,1545224323,145659978,'',0,2
1545224323422175448,,5707,,1545224323,347977846,'',0,2
1545224323573544088,,5708,,1545224323,551556022,'',0,2
1545224323753792844,,5709,,1545224323,746318198,'',0,2
1545224323964983753,,5710,,1545224323,951670531,'',0,2
1545224324150624519,,5711,,1545224324,145455421,'',0,2
1545224324352319931,,5712,,1545224324,347430115,'',0,2
1545224324562558934,,5713,,1545224324,544221917,'',0,2
1545224324752710500,,5714,,1545224324,748134622,'',0,2
1545224324955907364,,5715,,1545224324,949240883,'',0,2
1545224325154547315,,5716,,1545224325,144758837,'',0,2
1545224325356399827,,5717,,1545224325,350083880,'',0,2
1545224325572675767,,5718,,1545224325,548755465,'',0,2
1545224325804937897,,5719,,1545224325,746668825,'',0,2
