rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1545224270211555097,,17176,,1545224269,399060416,'',255,"[1517, 1515, 1115, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590047712,,17177,,1545224269,446054272,'',255,"[1517, 1515, 1115, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590064941,,17178,,1545224269,487054272,'',255,"[1517, 1515, 1115, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590079593,,17179,,1545224269,531051712,'',255,"[1517, 1515, 1115, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590093396,,17180,,1545224269,579051712,'',255,"[1517, 1515, 1115, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590107822,,17181,,1545224269,647048640,'',255,"[1517, 1515, 1116, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590182910,,17182,,1545224269,692048640,'',255,"[1517, 1515, 1116, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590255577,,17183,,1545224269,740043520,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590327161,,17184,,1545224269,784043520,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590399161,,17185,,1545224269,848042496,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590471392,,17186,,1545224269,896042496,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590579716,,17187,,1545224269,940036864,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590604973,,17188,,1545224269,984036864,'',255,"[1517, 1515, 1122, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590651348,,17189,,1545224270,28029440,'',255,"[1517, 1515, 1146, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590770334,,17190,,1545224270,98029440,'',255,"[1517, 1515, 1147, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590843784,,17191,,1545224270,138027392,'',255,"[1517, 1515, 1147, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270590926260,,17192,,1545224270,182027392,'',255,"[1517, 1515, 1147, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270669099693,,17193,,1545224270,246026624,'',255,"[1517, 1515, 1147, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270671180459,,17194,,1545224270,294026624,'',255,"[1517, 1515, 1147, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270671202722,,17195,,1545224270,338021760,'',255,"[1517, 1515, 1147, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270671216965,,17196,,1545224270,382021760,'',255,"[1517, 1515, 1147, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270671229227,,17197,,1545224270,447018944,'',255,"[1517, 1515, 1148, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270671247036,,17198,,1545224270,487018944,'',255,"[1517, 1515, 1148, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270672656026,,17199,,1545224270,535015104,'',255,"[1517, 1515, 1148, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270764148720,,17200,,1545224270,579015104,'',255,"[1517, 1515, 1148, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270764160505,,17201,,1545224270,639011776,'',255,"[1517, 1515, 1148, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270886976533,,17202,,1545224270,683011776,'',255,"[1517, 1515, 1148, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270886983925,,17203,,1545224270,747008960,'',255,"[1517, 1515, 1163, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270924779815,,17204,,1545224270,791008960,'',255,"[1517, 1515, 1178, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270977541246,,17205,,1545224270,832006400,'',255,"[1517, 1515, 1178, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270977562211,,17206,,1545224270,880006400,'',255,"[1517, 1515, 1178, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271006608941,,17207,,1545224270,948004352,'',255,"[1517, 1515, 1178, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271062802941,,17208,,1545224270,992004352,'',255,"[1517, 1515, 1178, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271091829374,,17209,,1545224271,36000768,'',255,"[1517, 1515, 1178, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271106628016,,17210,,1545224271,84000768,'',255,"[1517, 1515, 1178, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271163593445,,17211,,1545224271,131999232,'',255,"[1517, 1515, 1178, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271211516069,,17212,,1545224271,179999232,'',255,"[1517, 1515, 1178, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271271674541,,17213,,1545224271,227998208,'',255,"[1517, 1515, 1178, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271311818864,,17214,,1545224271,295998208,'',255,"[1517, 1515, 1178, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
